Calories,Protein,Sodium,Saturated Fat,Dietary Fiber,Iron,Vitamin B12,Cholesterol,URL,Brand,Product
210,12g,440mg,3.5g,2g,2.2mg,70%,0mg,https://faq.impossiblefoods.com/hc/en-us/articles/4413236407575-What-are-the-nutrition-facts-for-Impossible-Meatballs-Made-From-Plants,Impossible Foods,Impossible Meatballs
130,9 g,320 mg,0.5 g,0 g,0.8 mg,N/A,0 mg,https://www.gardein.com/fishless/mini-plant-based-crb-cakes,Gardein,Gardein Mini Plant Based Crb Cakes
110,17 g,310 mg,0 g,5 g,1.9 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/gluten-free/ground-bef,Gardein,Gardein Ground Bef
130,14 g,340 mg,0 g,3 g,1.6 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/bef-burger,Gardein,Gardein Bef Burger
220,18 g,810 mg,0.5 g,<1 g,3 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/plant-based-teriyaki-chickn-strips,Gardein,Gardein Plant Based Teriyaki Chickn Strips
210,16 g,760 mg,0 g,< 1 g,2.2 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/sweet-and-sour-prk-bites,Gardein,Gardein Sweet And Sour Prk Bites
270,18 g,630 mg,1 g,< 1 g,3.2 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/lightly-breaded-plant-based-turky-cutlets,Gardein,Gardein Lightly Breaded Plant Based Turky Cutlets
140,9 g,410 mg,0 g,3 g,1.3 mg,N/A,0 mg,https://www.gardein.com/fishless/plant-based-fsh-filets,Gardein,Gardein Plant Based Fsh Filets
270,13 g,630 mg,0.5 g,< 1 g,3.1 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/plant-based-mandarin-orange-crispy-chickn,Gardein,Gardein Plant Based Mandarin Orange Crispy Chickn
160,15 g,370 mg,0.5 g,3 g,1.9 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/meatballs,Gardein,Gardein Meatballs
140,14 g,350 mg,0.5 g,0 g,1.6 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/bef-tips,Gardein,Gardein Bef Tips
150,10 g,350 mg,0.5 g,<1 g,2 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/plant-based-seven-grain-crispy-tenders,Gardein,Gardein Plant Based Seven Grain Crispy Tenders
210,12 g,550 mg,1 g,< 1 g,3.8 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/nashville-hot-chickn-tenders,Gardein,Gardein Nashville Hot Chickn Tenders
190,15 g,540 mg,0.5 g,< 1 g,2.4 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-tenders,Gardein,Gardein Ultimate Plant Based Chickn Tenders
200,14 g,530 mg,0.5 g,< 1 g,2.6 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-nuggets,Gardein,Gardein Ultimate Plant Based Chickn Nuggets
300,22 g,830 mg,1 g,1 g,4.1 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-filets,Gardein,Gardein Ultimate Plant Based Chickn Filets
170,9 g,430 mg,0.5 g,4 g,3.1 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-black-bean-burger,Gardein,Gardein Ultimate Black Bean Burger
310,19 g,660 mg,1.5 g,1 g,3.7 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/plant-based-savory-stuffed-turky,Gardein,Gardein Plant Based Savory Stuffed Turky
200,13 g,1080 mg,1 g,3 g,1.4 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/soups/plant-based-italian-wedding-soup,Gardein,Gardein Plant Based Italian Wedding Soup
190,13 g,1100 mg,0 g,2 g,1.6 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/soups/plant-based-chickn-rice-soup-0,Gardein,Gardein Plant Based Chickn Rice Soup 0
190,13 g,1070 mg,0.5 g,2 g,2 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/soups/plant-based-chickn-noodl-soup-0,Gardein,Gardein Plant Based Chickn Noodl Soup 0
230,15 g,1130 mg,0.5 g,4 g,2.3 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/soups/plant-based-bef-vegetable-soup-0,Gardein,Gardein Plant Based Bef Vegetable Soup 0
270,19 g,800 mg,1 g,1 g,3.8 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/plant-based-turky-roast,Gardein,Gardein Plant Based Turky Roast
420,29 g,1650 mg,9 g,9 g,4.6 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/chilis/plant-based-chili-no-beans,Gardein,Gardein Plant Based Chili No Beans
500,32 g,1570 mg,8 g,16 g,5.9 mg,N/A,0 mg,https://www.gardein.com/soups-chilis/chilis/plant-based-chili-beans,Gardein,Gardein Plant Based Chili Beans
180,16 g,580 mg,3.5 g,1 g,2.7 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/spicy-italian-plant-based-sausge,Gardein,Gardein Spicy Italian Plant Based Sausge
190,16 g,660 mg,3.5 g,1 g,2.5 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/bratwurst-plant-based-sausge-links,Gardein,Gardein Bratwurst Plant Based Sausge Links
260,17 g,860 mg,1 g,1 g,3.2 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-wings-bbq,Gardein,Gardein Ultimate Plant Based Chickn Wings Bbq
260,17 g,920 mg,1 g,1 g,2.9 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-wings-buffalo,Gardein,Gardein Ultimate Plant Based Chickn Wings Buffalo
280,24 g,850 mg,1 g,1 g,4.1 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-spicy-chickn-filets,Gardein,Gardein Ultimate Plant Based Spicy Chickn Filets
260,28 g,810 mg,1 g,< 1 g,2.8 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-teriyaki-chickn-strips,Gardein,Gardein Ultimate Plant Based Teriyaki Chickn Strips
140,17 g,380 mg,0.5 g,0 g,2.4 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-original-chickn-strips,Gardein,Gardein Ultimate Plant Based Original Chickn Strips
230,23 g,490 mg,8 g,1 g,3 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-ground-bef-crumbles,Gardein,Gardein Ultimate Plant Based Ground Bef Crumbles
380,15 g,530 mg,0.5 g,3 g,2.7 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-sweet-sour-chickn-bowl,Gardein,Gardein Ultimate Plant Based Sweet Sour Chickn Bowl
320,18 g,830 mg,1 g,6 g,4.3 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-meatball-marinara-bowl,Gardein,Gardein Ultimate Plant Based Meatball Marinara Bowl
300,15 g,870 mg,0.5 g,7 g,3.6 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-bef-burrito-bowl,Gardein,Gardein Ultimate Plant Based Bef Burrito Bowl
300,18 g,890 mg,0.5 g,3 g,2.2 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-bef-and-broccoli-bowl,Gardein,Gardein Ultimate Plant Based Bef And Broccoli Bowl
150,9 g,330 mg,0 g,2 g,1.2 mg,N/A,0 mg,https://www.gardein.com/fishless/ultimate-plant-based-crispy-breaded-fsh-filets,Gardein,Gardein Ultimate Plant Based Crispy Breaded Fsh Filets
310,21 g,590 mg,7 g,1 g,3.1 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-meatballs,Gardein,Gardein Ultimate Plant Based Meatballs
340,16 g,910 mg,1.5 g,5 g,2.5 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-chickn-fried-rice-bowl,Gardein,Gardein Ultimate Plant Based Chickn Fried Rice Bowl
90,7 g,230 mg,2 g,< 1 g,1 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-spicy-breakfast-sausge-patties,Gardein,Gardein Ultimate Plant Based Spicy Breakfast Sausge Patties
140,23 g,490 mg,0.5 g,0 g,3 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-stek-tips,Gardein,Gardein Ultimate Plant Based Stek Tips
360,15 g,880 mg,1.5 g,2 g,3 mg,N/A,0 mg,https://www.gardein.com/meatless/ultimate-plant-based-fried-chickn-mac-cheeze,Gardein,Gardein Ultimate Plant Based Fried Chickn Mac Cheeze
280,28 g,720 mg,7 g,2 g,4.2 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-spicy-ground-sausge-crumbles,Gardein,Gardein Ultimate Plant Based Spicy Ground Sausge Crumbles
210,17 g,360 mg,6 g,2 g,3.5 mg,N/A,0 mg,https://www.gardein.com/beefless-and-porkless/classics/ultimate-plant-based-burger,Gardein,Gardein Ultimate Plant Based Burger
260,18 g,500 mg,1 g,<1 g,1.8 mg,N/A,0 mg,https://www.gardein.com/chickn-and-turky/classics/ultimate-plant-based-chickn-nuggets-extra-crispy,Gardein,Gardein Ultimate Plant Based Chickn Nuggets Extra Crispy
120,9g,220mg,0.5g,4g,1.5mg,N/A,0mg,https://www.myfooddiary.com/foods/5140490/morningstar-farms-spicy-black-bean-burger,Morningstar,Morningstar Farms Farms Spicy Black Bean Burger
100,10g,280mg,0g,5g,1.4mg,N/A,0mg,https://www.myfooddiary.com/foods/7582001/morningstar-farms-garden-veggie-burger,Morningstar,Morningstar Farms Farms Garden Veggie Burger
190,12g,460mg,1.5g,2g,1.6mg,N/A,0mg,https://www.myfooddiary.com/foods/29512/morningstar-farms-chik-n-nuggets,Morningstar,Morningstar Farms Farms Chik N Nuggets
80,9g,230mg,0g,2g,0.9mg,N/A,0mg,https://www.myfooddiary.com/foods/22200/morningstar-farms-original-sausage-patties,Morningstar,Morningstar Farms Farms Original Sausage Patties
90,9g,190mg,0.5g,2g,0.9mg,N/A,0mg,https://www.myfooddiary.com/foods/4704036/morningstar-farms-maple-flavored-sausage-patties,Morningstar,Morningstar Farms Farms Maple Flavored Sausage Patties
150,16g,350mg,1g,5g,1.6mg,N/A,0mg,https://www.myfooddiary.com/foods/7133491/morningstar-farms-veggie-meatballs,Morningstar,Morningstar Farms Farms Veggie Meatballs
200,11g,380mg,1g,3g,1.6mg,N/A,0mg,https://www.myfooddiary.com/foods/7559259/morningstar-farms-popcorn-chik-n,Morningstar,Morningstar Farms Farms Popcorn Chik N
150,16g,400mg,1g,3g,1.2mg,N/A,0mg,https://www.myfooddiary.com/foods/29511/morningstar-farms-grillers-prime-burger,Morningstar,Morningstar Farms Farms Grillers Prime Burger
140,24g,370mg,0g,0.5g,2.5mg,N/A,0mg,https://www.myfooddiary.com/foods/1231899/morningstar-farms-chik-n-strips,Morningstar,Morningstar Farms Farms Chik N Strips
170,8g,420mg,2g,3g,1.4mg,N/A,0mg,https://www.myfooddiary.com/foods/7644936/morningstar-farms-sausage-pizza-bites,Morningstar,Morningstar Farms Farms Sausage Pizza Bites
80,10g,210mg,0.5g,2g,1mg,N/A,0mg,https://www.myfooddiary.com/foods/7582002/morningstar-farms-hot-spicy-sausage-patties,Morningstar,Morningstar Farms Farms Hot Spicy Sausage Patties
60,9g,370mg,0g,0g,0.5mg,N/A,0mg,https://www.myfooddiary.com/foods/1501/morningstar-farms-veggie-dog,Morningstar,Morningstar Farms Farms Veggie Dog
200,21g,540mg,1g,6g,2.9mg,N/A,0mg,https://www.myfooddiary.com/foods/7785841/morningstar-farms-korean-bbq-riblets-sauce,Morningstar,Morningstar Farms Farms Korean Bbq Riblets Sauce
210,14g,360mg,1g,5g,1.7mg,N/A,0mg,https://www.myfooddiary.com/foods/644526/morningstar-farms-buffalo-chik-n-nuggets,Morningstar,Morningstar Farms Farms Buffalo Chik N Nuggets
60,9g,200mg,0g,3g,1.1mg,N/A,0mg,https://www.myfooddiary.com/foods/1231881/morningstar-farms-grillers-crumbles,Morningstar,Morningstar Farms Farms Grillers Crumbles
200,15g,620mg,3g,4g,2.1mg,N/A,120mg,https://www.myfooddiary.com/foods/7133495/morningstar-farms-sausage-egg-cheese-breakfast,Morningstar,Morningstar Farms Farms Sausage Egg Cheese Breakfast
70,9g,300mg,0g,1g,2.6mg,N/A,0mg,https://www.myfooddiary.com/foods/1435/morningstar-farms-sausage-links,Morningstar,Morningstar Farms Farms Sausage Links
230,21g,450mg,2g,6g,2.9mg,N/A,0mg,https://www.myfooddiary.com/foods/7760484/morningstar-farms-steakhouse-style-burger,Morningstar,Morningstar Farms Farms Steakhouse Style Burger
160,9g,380mg,1g,2g,1.3mg,N/A,0mg,https://www.myfooddiary.com/foods/644529/morningstar-farms-original-chik-patties,Morningstar,Morningstar Farms Farms Original Chik Patties
190,12g,600mg,1.5g,3g,1.7mg,N/A,0mg,https://www.myfooddiary.com/foods/7777298/morningstar-farms-pringles-scorchin-cheddar-cheeze,Morningstar,Morningstar Farms Farms Pringles Scorchin Cheddar Cheeze
60,2g,220mg,0.5g,0g,0.4mg,N/A,0mg,https://www.myfooddiary.com/foods/1502/morningstar-farms-bacon-strips,Morningstar,Morningstar Farms Farms Bacon Strips
